NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101207;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101208;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101209;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101210;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101211;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101212;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101213;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101214;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101215;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101216;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101217;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101218;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101219;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101220;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101221;16.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101222;10.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101223;6.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101224;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101225;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101226;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101227;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101228;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101229;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101230;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20101231;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110101;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110102;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110103;1.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110104;2.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110105;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110106;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20110107;0.0;1
